Title,Year,Director,Stars,Duration,Trailer_Duration,Genre,Rating,Movie_url
Good Will Hunting ,1997,Gus Van Sant,"Robin Williams,Matt Damon,Ben Affleck",2h 6min,0:33,Drama,8.3 / 10,https://www.imdb.com/title/tt0119217/
Requiem for a Dream ,2000,Darren Aronofsky,"Ellen Burstyn,Jared Leto,Jennifer Connelly",1h 42min,1:34,Drama,8.3 / 10,https://www.imdb.com/title/tt0180093/
The Bandit ,1996,Yavuz Turgul,"Sener Sen,Ugur Yücel,Sermin Hürmeriç",2h 8min,,Crime,8.3 / 10,https://www.imdb.com/title/tt0116231/
My Father and My Son ,2005,Çagan Irmak,"Çetin Tekindor,Fikret Kuskan,Hümeyra",1h 52min,,Drama,8.3 / 10,https://www.imdb.com/title/tt0476735/
Incendies ,2010,Denis Villeneuve,"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",2h 11min,2:09,Drama,8.3 / 10,https://www.imdb.com/title/tt1255953/
Eternal Sunshine of the Spotless Mind ,2004,Michel Gondry,"Jim Carrey,Kate Winslet,Tom Wilkinson",1h 48min,0:31,Drama,8.3 / 10,https://www.imdb.com/title/tt0338013/
American Beauty ,1999,Sam Mendes,"Kevin Spacey,Annette Bening,Thora Birch",2h 2min,3:01,Drama,8.3 / 10,https://www.imdb.com/title/tt0169547/
A Separation ,2011,Asghar Farhadi,"Payman Maadi,Leila Hatami,Sareh Bayat",2h 3min,2:04,Drama,8.3 / 10,https://www.imdb.com/title/tt1832382/
Reservoir Dogs ,1992,Quentin Tarantino,"Harvey Keitel,Tim Roth,Michael Madsen",1h 39min,2:03,Crime,8.3 / 10,https://www.imdb.com/title/tt0105236/
Inglourious Basterds ,2009,Quentin Tarantino,"Brad Pitt,Diane Kruger,Eli Roth",2h 33min,2:10,Adventure,8.3 / 10,https://www.imdb.com/title/tt0361748/
1917 ,2019,Sam Mendes,"Dean-Charles Chapman,George MacKay,Daniel Mays",1h 59min,2:26,Drama,8.3 / 10,https://www.imdb.com/title/tt8579674/
